Channel Id,Channel Url,Channel Title
UCNye-wNBqNL5ZzHSJj3l8Bg,http://www.youtube.com/channel/UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English
UCNzFhleZyCHPeIgmp-McMmQ,http://www.youtube.com/channel/UCNzFhleZyCHPeIgmp-McMmQ,Japan Eat
UCO5QSoES5yn2Dw7YixDYT5Q,http://www.youtube.com/channel/UCO5QSoES5yn2Dw7YixDYT5Q,Aperture
UCO7qSa787e6iYWDE4Oug1Lg,http://www.youtube.com/channel/UCO7qSa787e6iYWDE4Oug1Lg,Google SRE Prodcast
UCOBOSYGTToIg_GTBk2_wLKw,http://www.youtube.com/channel/UCOBOSYGTToIg_GTBk2_wLKw,Foodporn
UCODHrzPMGbNv67e84WDZhQQ,http://www.youtube.com/channel/UCODHrzPMGbNv67e84WDZhQQ,fern
UCOSJVk71utzoCmRxzcfhM-A,http://www.youtube.com/channel/UCOSJVk71utzoCmRxzcfhM-A,Masicka
UCObk_g1hQBy0RKKriVX_zOQ,http://www.youtube.com/channel/UCObk_g1hQBy0RKKriVX_zOQ,Netflix Is A Joke
UCOmtC9ACbdFlZrsAhi1z_Qg,http://www.youtube.com/channel/UCOmtC9ACbdFlZrsAhi1z_Qg,Lexxiam
UCOt3Ssxx03pxLdH3qzyTAsQ,http://www.youtube.com/channel/UCOt3Ssxx03pxLdH3qzyTAsQ,Daniel Hirsch
UCP7jMXSY2xbc3KCAE0MHQ-A,http://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A,Google DeepMind
UCPD_HF4TDU7wMyJVlPl-m1w,http://www.youtube.com/channel/UCPD_HF4TDU7wMyJVlPl-m1w,Roseanne Barr
UCPG-kUxVpjZWFAJeCwS4cQw,http://www.youtube.com/channel/UCPG-kUxVpjZWFAJeCwS4cQw,Blatant Reviews
UCPcfjtEeauin6HIBzDqL5FQ,http://www.youtube.com/channel/UCPcfjtEeauin6HIBzDqL5FQ,Samuel Donner
UCQ-jrhf6mt2PWa8cqF1-6Mw,http://www.youtube.com/channel/UCQ-jrhf6mt2PWa8cqF1-6Mw,Project Serum
UCQZkCCJmId85omD0PKo2oEQ,http://www.youtube.com/channel/UCQZkCCJmId85omD0PKo2oEQ,JAMbottlecapart
